School Name,State Name [District] 2022-23,County Name [District] 2022-23,Web Site URL [District] 2022-23,Location Address 1 [District] 2022-23,Location City [District] 2022-23,Location ZIP [District] 2022-23,Phone Number [District] 2022-23,Locale [District] 2022-23,Latitude [District] 2022-23,Longitude [District] 2022-23,LEA Charter Status [District] 2022-23,"Total Students, All Grades (Excludes AE) [District] 2022-23","Total Students, All Grades (Includes AE) [District] 2022-23",Male Students [District] 2022-23,Female Students [District] 2022-23,American Indian/Alaska Native Students [District] 2022-23,Asian or Asian/Pacific Islander Students [District] 2022-23,Hispanic Students [District] 2022-23,Black or African American Students [District] 2022-23,White Students [District] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [District] 2022-23,Two or More Races Students [District] 2022-23,AP Program Offered
A+ CHARTER SCHOOLS (1000166),ARIZONA,Pinal County,http://aplusaz.org,41600 W Smith-Enke Rd,MARICOPA,85138,5202655589,32-Town: Distant,33.042533,-112.015895,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",268,268,155,113,2,2,114,32,106,1,11,NO
ACADEMY WITH COMMUNITY PARTNERS INC (79213),ARIZONA,Maricopa County,http://www.acpathope.org,433 N HALL,MESA,85203,4808330068,11-City: Large,33.423526,-111.793077,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",171,171,89,82,10,3,93,13,43,0,9,NO
ACCELERATED LEARNING CENTER INC. (4297),ARIZONA,Maricopa County,http://acceleratedlearningcenteraz.comDr.,4105 E SHEA BLVD,PHOENIX,85028,6024850309,11-City: Large,33.582212,-111.992879,Charter district which is not an LEA for any federal program,153,153,72,81,2,0,27,7,111,0,6,NO
ACCLAIM CHARTER SCHOOL (4325),ARIZONA,Maricopa County,http://www.acclaimacademy.org,7624 W INDIAN SCHOOL RD,PHOENIX,85033,6236910919,11-City: Large,33.495776,-112.224385,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",268,268,151,117,0,0,226,1,38,2,1,NO
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),ARIZONA,Maricopa County,http://www.aguafria.org,1481 N ELISEO FELIX JR WAY STE,AVONDALE,85323,6239327000,22-Suburb: Mid-size,33.4506,-112.3367,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,9632,9632,4899,4733,78,313,4923,941,2900,42,435,NO
AGUILA ELEMENTARY DISTRICT (4249),ARIZONA,Maricopa County,http://www.aguilaschool.org,50023 N 514th Ave,Aguila,85320,9286852222,43-Rural: Remote,33.938754,-113.172756,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,142,142,70,72,0,6,128,3,5,0,0,NO
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),ARIZONA,Maricopa County,http://ccprephs.com/,6201 N 35TH AVE STE B4,PHOENIX,85017,6029736018,11-City: Large,33.52799,-112.133921,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",80,80,40,40,2,0,72,3,3,0,0,NO
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),ARIZONA,Pinal County,http://www.bwcs.k12.az.us,3652 E BLACKWATER SCHOOL RD,COOLIDGE,85128,5202155859,42-Rural: Distant,33.031406,-111.579468,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",39,39,19,20,35,0,3,1,0,0,0,NO
ALHAMBRA ELEMENTARY DISTRICT (4280),ARIZONA,Maricopa County,http://www.alhambraesd.org/,4510 N 37TH AVE,PHOENIX,85019,6023362920,11-City: Large,33.50269,-112.13899,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,10157,10157,5293,4864,135,431,7933,1029,447,21,161,NO
AMERICAN BASIC SCHOOLS LLC (79215),ARIZONA,Maricopa County,http://www.burkebasicschool.com,827 E 6TH AVE,MESA,85204,4809644602,11-City: Large,33.3925,-111.8289,Charter district which is not an LEA for any federal program,699,699,327,372,4,1,642,21,23,0,8,NO
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ALTA VI (80995),ARIZONA,Maricopa County,http://www.altavistahs.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",487,487,245,242,4,4,461,4,12,0,2,NO
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. CRESTVI (79874),ARIZONA,Maricopa County,http://www.crestviewpreparatory.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",246,246,140,106,8,0,190,21,21,2,4,NO
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. DESERT (79872),ARIZONA,Maricopa County,http://www.deserthillshs.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,21-Suburb: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",264,264,126,138,34,1,102,19,96,1,11,NO
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ESTRELL (79873),ARIZONA,Maricopa County,http://www.estrellahs.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,22-Suburb: Mid-size,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",113,113,53,60,2,1,79,18,8,2,3,NO
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. PEORIA (79875),ARIZONA,Maricopa County,http://www.peoriabulldogs.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,21-Suburb: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",549,549,274,275,11,7,368,57,82,3,21,NO
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH P (80989),ARIZONA,Maricopa County,http://www.southpointehs.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",555,555,280,275,28,4,387,115,13,2,6,NO
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH R (88334),ARIZONA,Maricopa County,http://www.southridgeprep.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",408,408,206,202,4,0,365,19,15,3,2,NO
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SUN VAL (79877),ARIZONA,Maricopa County,http://www.sunvalleymesa.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",373,373,177,196,16,2,243,28,69,1,14,NO
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. WEST PH (79879),ARIZONA,Maricopa County,http://www.westphoenixhs.com/,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,11-City: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",421,421,208,213,4,4,379,18,11,1,4,NO
AMERICAN CHARTER SCHOOLS FOUNDATION DBA RIDGEVIEW (1001346),ARIZONA,Maricopa County,http://www.ridgeviewcollegeprep.com,6150 N 16TH ST STE A,PHOENIX,85016,6029532933,21-Suburb: Large,33.527109,-112.047952,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",196,196,83,113,3,3,68,23,87,0,12,NO
AMERICAN LEADERSHIP ACADEMY INC. (4348),ARIZONA,Maricopa County,http://www.alaschools.org/,6913 E REMBRANDT AVE STE 2,MESA,85212,4804202101,21-Suburb: Large,33.340839,-111.682632,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",13070,13070,6596,6474,72,199,3163,368,8487,61,720,NO
AMERICAN VIRTUAL ACADEMY (79461),ARIZONA,Maricopa County,http://www.primavera-online-high-school.com,2471 N. Arizona Ave.,CHANDLER,85225,4804566678,11-City: Large,33.34192,-111.840971,Charter district which is not an LEA for any federal program,6392,6392,2884,3508,257,75,2786,316,2578,15,365,NO
ANTHEM PREPARATORY ACADEMY (90532),ARIZONA,Maricopa County,http://anthem.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,11-City: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1029,1029,469,560,2,86,157,16,688,0,80,NO
